Sale_ID,Customer_ID,Date,Car_Model,Region,Country,City,Units_Sold,Sale_Amount_USD,Color,Battery_Type,Delivery_Time_Days,Customer_Type,Dealer_Name
S0001,CUST0001,2023-10-20,Model X,Asia,India,Chennai,1,120000,Red,Long Range,46,Individual,"Brown, Olson and Dougherty Tesla"
S0002,CUST0002,2024-03-27,Model X,Asia,France,Toulouse,1,100000,White,Standard Range,49,Corporate,"Avery, Wood and Vazquez Tesla"
S0003,CUST0003,2025-02-10,Model X,North America,France,Paris,1,120000,White,Long Range,54,Individual,"Andersen, Russell and Short Tesla"
S0004,CUST0004,2025-03-25,Model X,North America,Germany,Berlin,2,280000,Red,Performance,20,Individual,"Thomas, Smith and Martin Tesla"
S0005,CUST0005,2024-02-01,Model S,Asia,India,Chennai,3,324000,Black,Long Range,19,Corporate,Miller Ltd Tesla
S0006,CUST0006,2024-09-02,Model S,North America,Canada,Montreal,3,324000,White,Long Range,37,Individual,Hicks-Gray Tesla
S0007,CUST0007,2025-01-28,Model S,Europe,Brazil,Brasília,5,450000,Black,Standard Range,45,Corporate,White-Smith Tesla
S0008,CUST0008,2024-12-25,Model S,Europe,USA,San Francisco,2,252000,Red,Performance,34,Individual,Lozano Group Tesla
S0009,CUST0009,2024-09-27,Cybertruck,Europe,UK,London,2,144000,Black,Long Range,31,Individual,Tucker-Wright Tesla
S0010,CUST0010,2023-09-27,Model 3,Asia,Canada,Toronto,3,162000,Black,Long Range,18,Corporate,"Lawson, Thompson and Wilson Tesla"
S0011,CUST0011,2025-01-25,Model 3,North America,Australia,Sydney,1,54000,White,Long Range,48,Corporate,Olson-Thomas Tesla
S0012,CUST0012,2025-01-24,Cybertruck,Asia,Germany,Munich,5,360000,Blue,Long Range,9,Individual,Stewart Inc Tesla
S0013,CUST0013,2024-11-08,Model 3,Europe,France,Marseille,1,54000,White,Long Range,31,Individual,"Chapman, Butler and Weber Tesla"
S0014,CUST0014,2024-03-03,Model 3,Asia,Australia,Adelaide,4,180000,Black,Standard Range,51,Corporate,Salinas Inc Tesla
S0015,CUST0015,2025-02-26,Model S,North America,USA,Houston,2,252000,White,Performance,36,Individual,Robertson-Young Tesla
S0016,CUST0016,2023-09-24,Model X,Asia,USA,Chicago,3,360000,White,Long Range,8,Corporate,Hill and Sons Tesla
S0017,CUST0017,2023-05-05,Model 3,Europe,India,Mumbai,1,45000,Black,Standard Range,27,Individual,Powell-Ashley Tesla
S0018,CUST0018,2023-09-23,Model S,Europe,Canada,Calgary,5,450000,Silver,Standard Range,53,Corporate,Watkins-Martin Tesla
S0019,CUST0019,2025-01-14,Model 3,Asia,UK,Manchester,5,315000,Black,Performance,37,Individual,Shaw and Sons Tesla
S0020,CUST0020,2024-10-20,Model 3,Europe,Brazil,Salvador,5,270000,Blue,Long Range,54,Individual,"Hawkins, Myers and Mitchell Tesla"
S0021,CUST0021,2023-10-16,Model S,North America,UK,Liverpool,3,324000,Red,Long Range,8,Individual,"Huffman, Weiss and Morris Tesla"
S0022,CUST0022,2024-01-02,Cybertruck,Asia,France,Nice,3,216000,Blue,Long Range,45,Individual,"Miller, Carlson and Cooper Tesla"
S0023,CUST0023,2025-01-29,Model X,Asia,UK,Leeds,4,480000,Black,Long Range,31,Corporate,"Farley, Carpenter and Martinez Tesla"
S0024,CUST0024,2024-04-12,Model X,Asia,Canada,Vancouver,2,280000,Blue,Performance,49,Individual,Young-Brooks Tesla
S0025,CUST0025,2023-12-06,Model S,Europe,Australia,Brisbane,4,504000,White,Performance,23,Corporate,Vasquez-Richards Tesla
S0026,CUST0026,2023-12-08,Cybertruck,North America,Germany,Hamburg,4,240000,Black,Standard Range,27,Individual,"Henderson, Richmond and Williams Tesla"
S0027,CUST0027,2024-02-06,Model X,Asia,Brazil,Fortaleza,1,100000,White,Standard Range,60,Corporate,Newman LLC Tesla
S0028,CUST0028,2024-06-29,Model S,Europe,Canada,Ottawa,3,270000,Silver,Standard Range,29,Individual,Livingston Inc Tesla
S0029,CUST0029,2023-11-25,Model 3,Asia,Brazil,São Paulo,4,216000,Black,Long Range,49,Corporate,Boone-Murphy Tesla
S0030,CUST0030,2024-06-10,Cybertruck,North America,USA,New York,4,288000,Red,Long Range,26,Corporate,"Hernandez, Hobbs and Wood Tesla"
S0031,CUST0031,2025-04-12,Model X,Asia,Brazil,Salvador,4,400000,Blue,Standard Range,59,Corporate,Wilson-Peters Tesla
S0032,CUST0032,2024-01-01,Cybertruck,North America,China,Guangzhou,5,300000,Blue,Standard Range,42,Individual,"Peters, Harrison and Thompson Tesla"
S0033,CUST0033,2024-08-07,Model 3,North America,Australia,Melbourne,3,135000,Silver,Standard Range,17,Individual,"Collins, Green and Meyer Tesla"
S0034,CUST0034,2024-05-03,Model S,North America,Brazil,Fortaleza,4,432000,Silver,Long Range,10,Individual,Mclean Group Tesla
S0035,CUST0035,2024-05-22,Model X,Europe,Brazil,Fortaleza,4,480000,Silver,Long Range,45,Individual,Rogers LLC Tesla
S0036,CUST0036,2025-01-23,Model 3,Europe,USA,Houston,5,225000,Red,Standard Range,55,Corporate,Quinn-Fischer Tesla
S0037,CUST0037,2024-11-22,Model S,Europe,India,Delhi,2,216000,Blue,Long Range,46,Individual,Rogers Group Tesla
S0038,CUST0038,2024-12-18,Model S,North America,USA,Houston,2,216000,Red,Long Range,58,Corporate,Jordan PLC Tesla
S0039,CUST0039,2025-01-10,Model S,Europe,Germany,Cologne,2,180000,White,Standard Range,47,Individual,Johnson PLC Tesla
S0040,CUST0040,2024-02-13,Model S,Asia,UK,London,5,630000,Black,Performance,47,Individual,Patterson-Rivera Tesla
S0041,CUST0041,2023-05-09,Model 3,Asia,India,Chennai,2,108000,Blue,Long Range,52,Corporate,"Lane, Porter and Wilcox Tesla"
S0042,CUST0042,2023-11-26,Model 3,Europe,Canada,Montreal,1,45000,White,Standard Range,34,Individual,"Estrada, Brown and Arnold Tesla"
S0043,CUST0043,2023-06-19,Cybertruck,Asia,China,Chengdu,3,180000,Blue,Standard Range,30,Individual,Burnett-Calhoun Tesla
S0044,CUST0044,2024-09-06,Model S,North America,USA,San Francisco,4,432000,White,Long Range,14,Individual,Cummings-Moore Tesla
S0045,CUST0045,2025-02-09,Model S,Europe,Canada,Calgary,3,378000,Red,Performance,15,Individual,Simmons-Vargas Tesla
S0046,CUST0046,2023-08-08,Model X,Europe,UK,London,5,600000,Blue,Long Range,10,Individual,"Hayes, Curtis and Morris Tesla"
